@Icebox551,maybe stop removing shit and actually implement an edit tweet
@NaSa2013NaSa,Thank you for undisturbing enduser Best decision you have ever made
@mikequinn_,Open up your API to third party clients like @tweetbot and you’ll get more adaption.
@shawnwenzel,"A feature I would love to see is a ""tweet sunset"" where tweets older than a year or two are only visible to you or people you follow unless you retweet them again. Would prevent trolls from digging up old tweets like recently happened to @itskerrii"
@Cally246,Can we have a way to be able to see interactions between accounts? Like if you click on someone’s profile you can see if you’ve interacted before?
@TwitterSupport,"Hey Cally. Thanks for the suggestion, we'll share this with our larger team for consideration."
@Erick_O_Mokua,"That is a sober,great http://move.How about giving us a character limit of say 250 per tweet instead of somebody doing so many tweets explaining a topical issue?It will be a great move I believe."
@Erick_O_Mokua,"I also want to vouch for the ""Edit"" option feature but the original message will not be deletable but ""If"" one deletes the original message under any edit,then the whole ""Thread"" will simply get deleted."
@CatholicJosh122,An edit button. Now. Signed - LITERALLY. EVERYONE
@MibIH,So maybe now you'll give us the Edit button every Twitter user has been crying out for since day one?
@Chicks126,"To make it ""the best product possible"" add an ""EDIT"" icon. And just accept that people are going to use the word ""fuck"" in their tweets."
@AdamantxYves,Could you let us search through our media galleries when we're trying to post pics and vids? They're never in order when I try.
@SnakeCharmers,You can improve Twitter with an EDIT button. That's number 1.
@redmeister81,Blue ticks for all. Sorted
@SweetyGogoi6,Why my this tweet is unavailable it's not any hate or other words i have used requesting you to please ger my tweet available and the reason why unavailable i have not used any bad word or tweeted any hate speech
@lalita_xsiempr,"Hello, please reactivate my account. is @yacque_espos I was suspended for copyright by mistake"
@TampaWoman1965,Can you provide a system for vaccine and political disinformation?
@kgradyback2life,Edit. Option. One that tracks original tweet so their are always receipts. Please and thank you!
@_garud_a,Give us back Moments for smartphones users.
@kannemaznn,"hello, @TwitterSupport i'm writing to say that my account has been suspended for over a month, it was suspended on 06/02, i've resorted in all possible ways, but i don't get an answer at all, can you do something ? case #0211230447"
@elemsee,"Going by the responses, perhaps you should beef up customer service and responding to suspension issues."
@CerebralPalsite,"How about putting tweets in chronological order and stopping promoted tweets taking up more of my timeline then people I actually want to follow? Oh, I forgot. It’s whatever makes the most money first before what actual users want. Moving on."
@robspodcastmug,Now would be a good time for that edit button
@Lindas_Here,"Here’s a novel idea…..an EDIT button! Even one that only gives you a minute or two to edit your tweet! I know it’s possible, because I had a forum with that feature before. Get with the program twitter!"
@eroipu_yakai,"Hi @TwitterSupport , my account @kusokyomu and @Web26735457 got suspended and it never violated the Twitter rules. I appealed the suspension via the Help Center but obtained no response. It's been a month. Could you please consider and unsuspend it? Case number is #0217540559 Thx."
@all4kame,I want an EDIT button is that too much to ask????
@RayArnold_VVA,Ok
@youichi1215,iPad使えないフリート機能なんていらん
@ohsixoneoh,I just want you to take a chance on an #edit button!
@interknetted,Good decision! Tells that we must experiment with ideas. Shutting what doesn't work and moving on to new ideas.
@elementrus,Explicitly copying a feature from multiple other platforms isn't taking a risk. Why pat yourself on the back for plagiarism?
@michellegraz,Here’s an idea - give us an edit button
@ohayoo2018,"Hey I've been using Twitter since 2008. It's ok.Sometimes things don't go well. You know what, we need edit function. I prefer simpler Twitter as it was a decade ago. It'd be much better for us users to fully control our TL. Don't mess it around. Let's make a better Twitterland!"
@kasparknusper,"Thank you for removing Fleets. That was something no one had asked for. And all reasons for Fleets you mentioned, are nothing what a usual tweet could do too anyway, beside beeing self destroyed, which, again, Noone had asked for."
@_Bkhshi_Amin,Zart!
@MustaphaMugisa,What if before such investment you ran a short survey about the featured customers would desire the most? And then refine based on the voice of the users???
@JR_Bee101,I would very much like to stop seeing peoples likes in my feed.
@bumblebeenush,"Now if you put in more effort into banning racist tweet accounts, that would be much appreciated"
@ReneeNTexas,"Read the room. Quit trying to copy ideas, and make tweets editable. #NotRocketScience"
@Denismskt,Algunos son tan idiotas que tienen de administradores Perú a apologistas del terrorismo.
